material_type,volume_kg,ph_level,moisture,purity_score
Fly Ash,512.4,8.1,4.5,0.955
Fly Ash,495.2,8.2,5.1,0.948
Fly Ash,550.0,8.5,4.8,0.961
Fly Ash,480.5,7.9,5.5,0.932
Fly Ash,600.2,8.8,4.2,0.970
Fly Ash,525.1,8.3,5.0,0.950
Fly Ash,510.8,8.0,4.7,0.958
Fly Ash,535.5,8.4,4.9,0.953
Fly Ash,490.0,8.1,5.2,0.945
Fly Ash,560.4,8.6,4.6,0.965
Fly Ash,580.0,8.7,4.4,0.968
Fly Ash,475.5,7.8,5.6,0.930
Fly Ash,515.2,8.2,4.8,0.954
Fly Ash,540.8,8.5,4.9,0.959
Fly Ash,505.5,8.0,5.1,0.949
Fly Ash,590.2,8.8,4.3,0.972
Fly Ash,520.1,8.3,4.6,0.957
Fly Ash,485.4,7.9,5.4,0.935
Fly Ash,570.6,8.6,4.5,0.966
Fly Ash,530.0,8.4,5.0,0.951
Fly Ash,518.7,8.1,4.7,0.956
Fly Ash,545.3,8.5,4.8,0.960
Fly Ash,498.9,8.2,5.2,0.946
Fly Ash,555.5,8.6,4.7,0.963
Fly Ash,585.1,8.7,4.3,0.970
Fly Ash,470.2,7.7,5.7,0.928
Fly Ash,500.5,8.0,5.0,0.950
Fly Ash,565.8,8.6,4.6,0.964
Fly Ash,522.4,8.3,4.8,0.955
Fly Ash,488.6,8.1,5.3,0.942
Fly Ash,595.0,8.8,4.2,0.973
Fly Ash,512.4,8.1,4.5,0.955
Fly Ash,495.2,8.2,5.1,0.948
Fly Ash,550.0,8.5,4.8,0.961
Fly Ash,480.5,7.9,5.5,0.932
Fly Ash,600.2,8.8,4.2,0.970
Fly Ash,525.1,8.3,5.0,0.950
Fly Ash,510.8,8.0,4.7,0.958
Fly Ash,535.5,8.4,4.9,0.953
Fly Ash,490.0,8.1,5.2,0.945
Fly Ash,560.4,8.6,4.6,0.965
Fly Ash,580.0,8.7,4.4,0.968
Fly Ash,475.5,7.8,5.6,0.930
Fly Ash,515.2,8.2,4.8,0.954
Fly Ash,540.8,8.5,4.9,0.959
Fly Ash,505.5,8.0,5.1,0.949
Fly Ash,590.2,8.8,4.3,0.972
Fly Ash,520.1,8.3,4.6,0.957
Fly Ash,485.4,7.9,5.4,0.935
Fly Ash,570.6,8.6,4.5,0.966
Fly Ash,530.0,8.4,5.0,0.951
Fly Ash,518.7,8.1,4.7,0.956
Fly Ash,545.3,8.5,4.8,0.960
Fly Ash,498.9,8.2,5.2,0.946
Fly Ash,555.5,8.6,4.7,0.963
Fly Ash,585.1,8.7,4.3,0.970
Fly Ash,470.2,7.7,5.7,0.928
Fly Ash,500.5,8.0,5.0,0.950
Fly Ash,565.8,8.6,4.6,0.964
Fly Ash,522.4,8.3,4.8,0.955
Fly Ash,488.6,8.1,5.3,0.942
Fly Ash,595.0,8.8,4.2,0.973
Fly Ash,512.4,8.1,4.5,0.955
Fly Ash,495.2,8.2,5.1,0.948
Fly Ash,550.0,8.5,4.8,0.961
Fly Ash,480.5,7.9,5.5,0.932
Fly Ash,600.2,8.8,4.2,0.970
Fly Ash,525.1,8.3,5.0,0.950
Fly Ash,510.8,8.0,4.7,0.958
Fly Ash,535.5,8.4,4.9,0.953
Fly Ash,490.0,8.1,5.2,0.945
Fly Ash,560.4,8.6,4.6,0.965
Fly Ash,580.0,8.7,4.4,0.968
Fly Ash,475.5,7.8,5.6,0.930
Fly Ash,515.2,8.2,4.8,0.954
Fly Ash,540.8,8.5,4.9,0.959
Fly Ash,505.5,8.0,5.1,0.949
Fly Ash,590.2,8.8,4.3,0.972
Fly Ash,520.1,8.3,4.6,0.957
Fly Ash,485.4,7.9,5.4,0.935
Fly Ash,570.6,8.6,4.5,0.966
Fly Ash,530.0,8.4,5.0,0.951
Fly Ash,518.7,8.1,4.7,0.956
Fly Ash,545.3,8.5,4.8,0.960
Fly Ash,498.9,8.2,5.2,0.946
Fly Ash,555.5,8.6,4.7,0.963
Fly Ash,585.1,8.7,4.3,0.970
Fly Ash,470.2,7.7,5.7,0.928
Fly Ash,500.5,8.0,5.0,0.950
Fly Ash,565.8,8.6,4.6,0.964
Fly Ash,522.4,8.3,4.8,0.955
Fly Ash,488.6,8.1,5.3,0.942
Fly Ash,595.0,8.8,4.2,0.973
Fly Ash,532.1,8.4,4.9,0.952
Fly Ash,481.5,8.0,5.4,0.938
Fly Ash,552.3,8.5,4.7,0.962
Fly Ash,501.1,8.1,5.0,0.948
Fly Ash,588.4,8.8,4.4,0.969
Fly Ash,514.6,8.2,4.9,0.953
Fly Ash,542.9,8.5,4.8,0.960
Steel Slag,750.2,10.2,8.5,0.852
Steel Slag,780.5,10.5,8.1,0.865
Steel Slag,720.0,9.9,9.0,0.835
Steel Slag,800.4,10.8,7.8,0.880
Steel Slag,710.5,9.8,9.2,0.825
Steel Slag,790.1,10.6,8.0,0.872
Steel Slag,740.8,10.1,8.7,0.845
Steel Slag,765.2,10.3,8.3,0.858
Steel Slag,730.0,10.0,8.8,0.840
Steel Slag,810.5,10.9,7.5,0.885
Steel Slag,725.4,9.9,8.9,0.838
Steel Slag,795.0,10.7,7.9,0.875
Steel Slag,755.8,10.2,8.4,0.855
Steel Slag,775.3,10.4,8.2,0.862
Steel Slag,715.1,9.8,9.1,0.830
Steel Slag,805.2,10.8,7.7,0.882
Steel Slag,745.6,10.1,8.6,0.848
Steel Slag,785.4,10.5,8.0,0.868
Steel Slag,735.9,10.0,8.8,0.842
Steel Slag,815.0,11.0,7.4,0.890
Steel Slag,750.2,10.2,8.5,0.852
Steel Slag,780.5,10.5,8.1,0.865
Steel Slag,720.0,9.9,9.0,0.835
Steel Slag,800.4,10.8,7.8,0.880
Steel Slag,710.5,9.8,9.2,0.825
Steel Slag,790.1,10.6,8.0,0.872
Steel Slag,740.8,10.1,8.7,0.845
Steel Slag,765.2,10.3,8.3,0.858
Steel Slag,730.0,10.0,8.8,0.840
Steel Slag,810.5,10.9,7.5,0.885
Steel Slag,725.4,9.9,8.9,0.838
Steel Slag,795.0,10.7,7.9,0.875
Steel Slag,755.8,10.2,8.4,0.855
Steel Slag,775.3,10.4,8.2,0.862
Steel Slag,715.1,9.8,9.1,0.830
Steel Slag,805.2,10.8,7.7,0.882
Steel Slag,745.6,10.1,8.6,0.848
Steel Slag,785.4,10.5,8.0,0.868
Steel Slag,735.9,10.0,8.8,0.842
Steel Slag,815.0,11.0,7.4,0.890
Steel Slag,750.2,10.2,8.5,0.852
Steel Slag,780.5,10.5,8.1,0.865
Steel Slag,720.0,9.9,9.0,0.835
Steel Slag,800.4,10.8,7.8,0.880
Steel Slag,710.5,9.8,9.2,0.825
Steel Slag,790.1,10.6,8.0,0.872
Steel Slag,740.8,10.1,8.7,0.845
Steel Slag,765.2,10.3,8.3,0.858
Steel Slag,730.0,10.0,8.8,0.840
Steel Slag,810.5,10.9,7.5,0.885
Steel Slag,725.4,9.9,8.9,0.838
Steel Slag,795.0,10.7,7.9,0.875
Steel Slag,755.8,10.2,8.4,0.855
Steel Slag,775.3,10.4,8.2,0.862
Steel Slag,715.1,9.8,9.1,0.830
Steel Slag,805.2,10.8,7.7,0.882
Steel Slag,745.6,10.1,8.6,0.848
Steel Slag,785.4,10.5,8.0,0.868
Steel Slag,735.9,10.0,8.8,0.842
Steel Slag,815.0,11.0,7.4,0.890
Steel Slag,750.2,10.2,8.5,0.852
Steel Slag,780.5,10.5,8.1,0.865
Steel Slag,720.0,9.9,9.0,0.835
Steel Slag,800.4,10.8,7.8,0.880
Steel Slag,710.5,9.8,9.2,0.825
Steel Slag,790.1,10.6,8.0,0.872
Steel Slag,740.8,10.1,8.7,0.845
Steel Slag,765.2,10.3,8.3,0.858
Steel Slag,730.0,10.0,8.8,0.840
Steel Slag,810.5,10.9,7.5,0.885
Steel Slag,725.4,9.9,8.9,0.838
Steel Slag,795.0,10.7,7.9,0.875
Steel Slag,755.8,10.2,8.4,0.855
Steel Slag,775.3,10.4,8.2,0.862
Steel Slag,715.1,9.8,9.1,0.830
Steel Slag,805.2,10.8,7.7,0.882
Steel Slag,745.6,10.1,8.6,0.848
Steel Slag,785.4,10.5,8.0,0.868
Steel Slag,735.9,10.0,8.8,0.842
Steel Slag,815.0,11.0,7.4,0.890
Steel Slag,750.2,10.2,8.5,0.852
Steel Slag,780.5,10.5,8.1,0.865
Steel Slag,720.0,9.9,9.0,0.835
Steel Slag,800.4,10.8,7.8,0.880
Steel Slag,710.5,9.8,9.2,0.825
Steel Slag,790.1,10.6,8.0,0.872
